"business_activities","cuisine_name","license_no","licensing_agency","location_gps","number_of_employees","load_timestamp"
"Restaurant","International cuisine","217213","Department of Economic Development- Dubai","25.261485399999998,55.3150938","1.00","2026-06-29T16:24:56.000Z"
"Confectionary & Chocolate Trading","Not Applicable","1042432","Department of Economic Development- Dubai",",","1.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","833330","Department of Economic Development- Dubai","25.2767661,55.3105927","0.00","2026-06-29T16:24:56.000Z"
"Snack Food Trading","Not Applicable","719125","Department of Economic Development- Dubai","24.925227,54.9969743","4.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","977934","Department of Economic Development- Dubai","25.2374057,55.3044788","1.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","869164","Department of Economic Development- Dubai","25.07141452137529,55.30848294496536","1.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","219353","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Others","689520","Department of Economic Development- Dubai","25.169892543609098,55.241313108993474","4.00","2026-06-29T16:24:56.000Z"
"Global Village","Arabic cuisine","943565","Department of Economic Development- Dubai","25.070906149087723,55.30848026275635","1.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai",",","4.00","2026-06-29T16:24:56.000Z"
"Eggs Trading","Not Applicable","877065","Department of Economic Development- Dubai","25.2058405,55.4069498","1.00","2026-06-29T16:24:56.000Z"
"Snack Food Trading","International cuisine","719125","Department of Economic Development- Dubai","24.925227,54.9969743","3.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","632360","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Malls/SME/Intaleq","Not Applicable","906350","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","943565","Department of Economic Development- Dubai","25.2621399,55.3151907","3.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","762577","Department of Economic Development- Dubai",",","0.00","2026-06-29T16:24:56.000Z"
"Mini Store","Not Applicable","643630","Department of Economic Development- Dubai","25.257512778341336,55.3272756732199","0.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","943565","Department of Economic Development- Dubai",",","3.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","979184","Department of Economic Development- Dubai","25.071413914002267,55.30850440263748","1.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","International cuisine","680396","Department of Economic Development- Dubai","25.099035824474495,55.37362355595246","21.00","2026-06-29T16:24:56.000Z"
"General Trading","Others","1027676","Department of Economic Development- Dubai","25.2743791, 55.3700004","5.00","2026-06-29T16:24:56.000Z"
"Restaurant","","1308160","Department of Economic Development- Dubai","25.260650816150132, 55.297488775640936","1.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","1041708","Department of Economic Development- Dubai","25.07113938108024,55.30817985534668","1.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.066941137263335,55.31238555908203","1.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","118399","Department of Economic Development- Dubai","25.204929,55.270840","1.00","2026-06-29T16:24:56.000Z"
"Catering to Schools","International cuisine","740150","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","1195982","Department of Economic Development- Dubai","25.17614363404892,55.22134602069855","5.00","2026-06-29T16:24:56.000Z"
"Mini Store","Not Applicable","219738","Department of Economic Development- Dubai","25.211358450911828,55.25952760130167","20.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","International cuisine","785335","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","18.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","680396","Department of Economic Development- Dubai","25.075337480991827,55.30620574951172","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","American Cuisine","808679","Department of Economic Development- Dubai","25.17444248172029,55.219334079568625","4.00","2026-06-29T16:24:56.000Z"
"Dates Trading","Not Applicable","1010897","Department of Economic Development- Dubai","25.287542026764502,55.39409637451172","4.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","862549","Department of Economic Development- Dubai","25.2465288,55.3071222","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","774969","Department of Economic Development- Dubai","25.195389659410836,55.24647194892168","0.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","217885","Department of Economic Development- Dubai","25.261304499999998,55.3154197","4.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","729317","Department of Economic Development- Dubai","25.142671808518006,55.224638646270364","23.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","621134","Department of Economic Development- Dubai","25.290944497784185,55.368000339355476","2.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","826813","Department of Economic Development- Dubai","25.241752293919678,55.37477125828241","35.00","2026-06-29T16:24:56.000Z"
"Restaurant","Arabic cuisine","704600","Department of Economic Development- Dubai","25.23792950781282,55.313326190795905","23.00","2026-06-29T16:24:56.000Z"
"Grocery Store","Not Applicable","1029131","Department of Economic Development- Dubai","25.258478330190272,55.400034588020034","1.00","2026-06-29T16:24:56.000Z"
"Private Hospital","International cuisine","1468652","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","48.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","628505","Department of Economic Development- Dubai","25.2621348,55.3151216","2.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Others","628505","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Poultry Trading","Arabic cuisine","1483981","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Korean Cuisine","1466286","Department of Economic Development- Dubai",",","13.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","1144761","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","1.00","2026-06-29T16:24:56.000Z"
"Corporate Office Management","International cuisine","896384","Department of Economic Development- Dubai","25.093838502369554,55.1953125","27.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","833052","Department of Economic Development- Dubai","25.221558997242447,55.27543544769287","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Philippines Cuisine","724267","Department of Economic Development- Dubai","25.273501152611445,55.332821466301084","0.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","794090","Department of Economic Development- Dubai","25.23372003421461,55.47323763370514","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Indian cuisine","843626","Department of Economic Development- Dubai",",","6.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Indian cuisine","514922","Department of Economic Development- Dubai","25.26913032813208,55.30560734370305","8.00","2026-06-29T16:24:56.000Z"
"Catering Services","International cuisine","229599","Department of Economic Development- Dubai","25.204849,55.270783","5.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","528568","Department of Economic Development- Dubai",",","13.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","1305995","Department of Economic Development- Dubai","25.26012952687131, 55.19525199414056","9.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","542628","Department of Economic Development- Dubai","25.204929,55.270840","10.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","200764","Department of Economic Development- Dubai","25.184873445638832,55.37559236645768","438.00","2026-06-29T16:24:56.000Z"
"Global Village","Arabic cuisine","944650","Department of Economic Development- Dubai","25.070361939378017,55.3106689453125","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","Not Applicable","900859","Department of Economic Development- Dubai","25.22943501087334,55.494405399218756","1.00","2026-06-29T16:24:56.000Z"
"Coffee Shop","International cuisine","217213","Department of Economic Development- Dubai","25.261861600000003,55.3254198","3.00","2026-06-29T16:24:56.000Z"
"Fish & Marine Animals Trading","Mediterranean Cuisine","628505","Department of Economic Development- Dubai","25.262003699999998,55.315205299999995","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","229599","Department of Economic Development- Dubai","25.204849,55.270783","4.00","2026-06-29T16:24:56.000Z"
"General Trading","Not Applicable","691422","Department of Economic Development- Dubai","25.153189767959254,55.24567507236884","1.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","1041708","Department of Economic Development- Dubai","25.069118022390025,55.30689239501953","1.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","International cuisine","511164","Department of Economic Development- Dubai","25.21589661514176,55.40791645646095","2.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","516287","Department of Economic Development- Dubai","25.255278216656368,55.39739499325411","24.00","2026-06-29T16:24:56.000Z"
"Party Cook","Arabic cuisine","680958","Department of Economic Development- Dubai","25.204929,55.270840","0.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Others","580746","Department of Economic Development- Dubai","24.989169895608924,55.37315368652344","1.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Mexican Cuisine","628505","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Exhibition Organizing","Not Applicable","904133","Department of Economic Development- Dubai","25.26591561141923,55.38289546966553","0.00","2026-06-29T16:24:56.000Z"
"Cafeteria","Arabic cuisine","1074755","Department of Economic Development- Dubai","25.0874936667436,55.31429026275873","6.00","2026-06-29T16:24:56.000Z"
"Restaurant","Indian cuisine","829436","Department of Economic Development- Dubai","25.2615287,55.2884696","0.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","823022","Department of Economic Development- Dubai","25.187613473947035,55.384489781900015","3.00","2026-06-29T16:24:56.000Z"
"Supermarket","Not Applicable","219738","Department of Economic Development- Dubai","24.92657709729419,55.00606526585081","30.00","2026-06-29T16:24:56.000Z"
"Food & Beverages Trading (Sub-activity of Trading)","Not Applicable","671596","Department of Economic Development- Dubai",",","0.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","766189","Department of Economic Development- Dubai","24.91963870972436,55.008808295812614","12.00","2026-06-29T16:24:56.000Z"
"Permanent Food Kiosk","Turkish cuisine","696933","Department of Economic Development- Dubai","25.07602257391492,55.13243615627289","1.00","2026-06-29T16:24:56.000Z"
"Corporate Office Management","","626247","Department of Economic Development- Dubai","25.161396933454718,55.39844392400278","4.00","2026-06-29T16:24:56.000Z"
"Global Village","Not Applicable","794090","Department of Economic Development- Dubai","25.070206450445415,55.308265686035156","1.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","1099870","Department of Economic Development- Dubai","25.180849205917415,55.270740198701866","6.00","2026-06-29T16:24:56.000Z"
"Catering Services","Arabic cuisine","217213","Department of Economic Development- Dubai",",","9.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","Not Applicable","1091997","Department of Economic Development- Dubai",",","3.00","2026-06-29T16:24:56.000Z"
"Catering Services","Not Applicable","229599","Department of Economic Development- Dubai","25.204849,55.270783","5.00","2026-06-29T16:24:56.000Z"
"Restaurant","Not Applicable","1165838","Department of Economic Development- Dubai","25.185394448081322,55.27394279837608","1.00","2026-06-29T16:24:56.000Z"
"Vegetable and Fruit Trading","Not Applicable","797511","Department of Economic Development- Dubai","25.2740166,55.3039042","0.00","2026-06-29T16:24:56.000Z"
"Food Kiosk","Not Applicable","719125","Department of Economic Development- Dubai",",","6.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
"Ice Cream Shop","Not Applicable","628505","Department of Economic Development- Dubai",",","2.00","2026-06-29T16:24:56.000Z"
